Designator,Mid X,Mid Y,Rotation,Layer
U18,137.098,-56.896,90.0,top
U19,137.098,-67.056,90.0,top
U2,105.0915,-56.896,90.0,top
U20,137.098,-36.576,90.0,top
U21,145.098,-46.736,90.0,top
U22,145.098,-56.896,90.0,top
U23,145.098,-67.056,90.0,top
U24,145.098,-36.576,90.0,top
U25,153.098,-46.736,90.0,top
U26,153.098,-56.896,90.0,top
U27,153.098,-67.056,90.0,top
U28,153.098,-36.576,90.0,top
U29,161.098,-46.736,90.0,top
U3,105.0915,-67.056,90.0,top
U30,161.098,-56.896,90.0,top
U31,161.098,-67.056,90.0,top
U32,161.098,-36.576,90.0,top
U33,96.963,-36.576,90.0,top
U34,97.028,-46.736,90.0,top
U35,97.028,-56.896,90.0,top
U36,105.101,-89.026,90.0,top
U37,113.101,-89.026,90.0,top
U38,121.101,-89.026,90.0,top
U39,129.101,-89.026,90.0,top
U4,105.0915,-36.576,90.0,top
U40,137.101,-89.026,90.0,top
U41,153.101,-89.026,90.0,top
U42,105.101,-109.935,270.0,top
U43,121.101,-109.935,270.0,top
U44,105.101,-99.186,90.0,top
U45,113.101,-99.186,90.0,top
U46,121.101,-99.186,90.0,top
U47,129.101,-99.186,90.0,top
U48,137.101,-99.186,90.0,top
U49,153.101,-99.186,90.0,top
U5,113.098,-46.736,90.0,top
U50,113.101,-109.935,270.0,top
U51,137.101,-109.935,270.0,top
U52,145.101,-109.935,270.0,top
U53,153.101,-109.935,270.0,top
U54,112.9975,-131.586,90.0,top
U55,112.9975,-143.016,90.0,top
U56,145.101,-89.026,90.0,top
U57,161.101,-89.026,90.0,top
U58,121.009333,-131.586,90.0,top
U59,121.009333,-143.016,90.0,top
U6,113.098,-56.896,90.0,top
U60,129.021167,-131.586,90.0,top
U61,129.021167,-143.016,90.0,top
U62,145.044833,-131.586,90.0,top
U63,145.044833,-143.016,90.0,top
U64,145.101,-99.186,90.0,top
U65,161.101,-99.186,90.0,top
U66,153.056667,-131.586,90.0,top
U67,153.056667,-143.016,90.0,top
U68,52.705,-36.17,0.0,top
U7,113.098,-67.056,90.0,top
U71,161.0685,-131.586,90.0,top
U72,40.77,-134.747,90.0,top
U73,48.579,-134.747,90.0,top
U74,56.326,-134.747,90.0,top
U75,40.832,-144.907,90.0,top
U8,113.098,-36.576,90.0,top
U83,48.641,-144.907,90.0,top
U84,161.0685,-143.016,90.0,top
U85,137.033,-143.016,90.0,top
U86,137.033,-131.586,90.0,top
U87,105.0585,-130.951,90.0,top
U88,68.772,-144.526,90.0,top
U89,76.519,-144.526,90.0,top
U9,121.098,-46.736,90.0,top
U90,76.522,-133.096,90.0,top
U91,68.769,-133.096,90.0,top
